cat_traveller_id,cat_traveller,traveller_cat,country_res_id,country_res_name,adjustment_type_id,adjustment_type,frequency_id,frequency,time_period,observation_value,unit_measurement_id,unit_measurement,table
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2201,Ireland,10,Original,M,Monthly,2018-01,6240,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,8203,Brazil,10,Original,M,Monthly,2018-01,5720,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,1502,Fiji,10,Original,M,Monthly,2018-01,33930,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,4205,Israel,10,Original,M,Monthly,2018-01,3400,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,6102,Hong Kong,10,Original,M,Monthly,2018-01,26890,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,1304,Vanuatu,10,Original,M,Monthly,2018-01,1000,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,4203,Iran,10,Original,M,Monthly,2018-01,850,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,6101,China,10,Original,M,Monthly,2018-01,118310,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,7107,Sri Lanka,10,Original,M,Monthly,2018-01,2710,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,2301,Austria,10,Original,M,Monthly,2018-01,4820,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,7101,Bangladesh,10,Original,M,Monthly,2018-01,4990,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,8204,Chile,10,Original,M,Monthly,2018-01,3600,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,1502,Fiji,10,Original,M,Monthly,2018-01,3190,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,5202,Indonesia,10,Original,M,Monthly,2018-01,9620,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,8201,Argentina,10,Original,M,Monthly,2018-01,3480,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,3207,Greece,10,Original,M,Monthly,2018-01,2560,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,5204,Philippines,10,Original,M,Monthly,2018-01,39270,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2311,Switzerland,10,Original,M,Monthly,2018-01,6150,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,2311,Switzerland,10,Original,M,Monthly,2018-01,4010,NUM,Number,sc
5,Short-term (less than one year) Residents returning,Residents returning,4208,Lebanon,10,Original,M,Monthly,2018-01,6220,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2304,Germany,10,Original,M,Monthly,2018-01,19350,NUM,Number,sc
6,Short-term (less than one year) Visitors arriving,Visitors arriving,3307,Poland,10,Original,M,Monthly,2018-01,2490,NUM,Number,sc
